self,title,artifact,image,thumbnail,materials,dimensions,date,origin,distance,collection,link,license,link2,ledger,department,customer,page,origin2,production1,production2,materials2,description,author,book,publisher,author2,book2,publisher2,unit,pounds,pounds2,dollars,analytics,Thumb1,Thumb2,Thumb3,Thumb4,Thumb5,Thumb6,Thumb7,New Description,Notes,Notes2
Bible,Bible,King James Bible Cambridge Edition,Bible.jpg,BibleThumbnail.jpg,Bible,,1760,London,"3,607 mi.",ThatPeskyCommoner via Wikimedia Commons,https://commons.wikimedia.org/wiki/File:1760_Cambridge_Edition_King_James_Bible.png,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,BibleLedger.jpg,Literacy,William Boylestone,127,"Bibles were most frequently imported from England until 1782, when the first Bible was printed in America.",England,London,,"The Bible is the Christian holy book consisting of the Old and New Testaments. It was one of the most common books in the American colonies and was often the only book a household owned. It was used for religious devotion, to learn life lessons, and as a basic text to learn reading.","Hugh Amory & David D. Hall, ed.,",A History of the Book in America: Volume One: The Colonial Book in the Atlantic World,"(New York: Cambridge University Press, 2000).","Monaghan, Jennifer E.",Learning to Read and Write in Colonial America: Literacy Instruction and Acquisition in a Cultural Context.,"Amherst: University of Massachusetts Press, 2005.",1,14 shillings,98.6,163,"The databases record twenty-eight purchases of Bibles, including gilt, large, and plain Bibles. They range in quantity from one to four Bibles. In terms of price, these ranged from one shilling five pence for one unspecified Bible to twenty-four shillings for one large Bible.",Comb,Silk,Osnaburg,Cotton,Button,Linen,Buckram,,Re-wrote description for less awk phrasing,
BlankBook,Blank Book,Widdifield Notebook,BlankBook.jpg,BlankBookThumbnail.jpg,"Leather binding, paper pages",,1704-1720,England,"3,607 mi.",Digital Library for the Decorative Arts and Material Culture,http://digicoll.library.wisc.edu/cgi-bin/DLDecArts/DLDecArts-idx?id=DLDecArts.Widdifield,Public Domain,https://en.wikipedia.org/wiki/Public_domain,BlankBookLedger.jpg,Literacy,Dr. Walter Stewart,162,"Blank books were bound by printers in the American colonies, but they were also imported from England.",England,,,"Blank books were, as their name implies, bound volumes of blank paper. They could serve whatever function the owner needed. John Widdifield, for one, used his blank book as a journal to catalog the various carpentry and varnishing techniques he employed, but blank books were frequently used as account books as well.","Martin, Ann Smart.",Buying Into the World of Goods: Early Consumers in Backcountry Virginia.,"(Baltimore: Johns Hopkins University Press, 2008): 189-190.",,,,,"1 shilling, 6 pence",10.2,16.8,"The databases record three blank books and a blank copy book. The databases record no further qualifiers indicating size, quality, or number of sheets; however, their range in price from three pence for a blank book to one shilling six pence for a blank copy book indicate that such variation likely existed.",Cotton,Hose,Cinnamon,Silk,Buckram,Linen,Button,,,
InkPot,Ink Pot,Inkwell,InkPot.jpg,InkPotThumbnail.jpg,Tin-glazed earthenware (delft),"OL: 4 1/2""",1767,"England, Liverpool","3,514 mi.",Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:33308,All Rights Reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,InkPotLedger.jpg,Literacy,Henry Vanmetre,258,"English or Dutch earthenware ink pots were frequently imported, though simpler stoneware ink pots may have been manufactured locally.",England,,,"Ink pots were necessary for various aspects of writing. They could be as simple as vessels for liquid ink or more complex devices that held liquid ink, writing utensils, and stored materials for making ink.","E. Jennifer Monaghan,",Learning to Read and Write in Colonial America,"(Amherst: University of Massachusetts Press, 2007).",,,,1,7.5 pence,4.25,7.01,"The databases record five purchases of ink pots, three of which were identified as brass. While the material of the other two was unidentified, they were likely ceramic. Ink pots ranged in price from two pence to twelve pence.",Salt,Paper,Rug,Linen,Muslin,Handkerchief,Hat,,,
Inkpowder,Inkpowder,Carbon Black Ink Powder,InkPowder.jpg,InkPowderThumbnail.jpg,Ink,,,,,FK1954 via Wikimedia Commons,https://en.wikipedia.org/wiki/Carbon_black#/media/File:Carbon_black.jpg,Public Domain,https://en.wikipedia.org/wiki/Public_domain,InkpowderLedger.jpg,Literacy,Thomas Harrison,236,,,,,"Ink was a crucial element for Colonial American writing. It could be made from various materials and could thus produce a range of colors, from black and blue to red, gray, and green. The most common type of ink used during this time was called iron gall ink. It was a mixture of galls from oak stems, an iron compound, and gum. It produced a black ink that was permanent on paper.","E. Jennifer Monaghan,",Learning to Read and Write in Colonial America,"(Amherst: University of Massachusetts Press, 2007).",,,,,12 pence,6.8,11.2,"The databases record two purchases of ink powder. The ink was sold by the paper, probably a small envelope. These ranged in price from five pence to twelve pence.",Measure,Indigo,Thread,Sugar,Paper,Garter,Pot,,,
Instrument,Mathematical Instruments,Set of Drawing Instruments,Instrument.jpg,InstrumentThumbnail.jpg,"Case: shagreen with silver mounts; Instruments: brass, steel, ivory",Case: H. 7 x W. 3 1/8 in. (17.8 x 7.9 cm),1755-1760,London,"3,667 mi.",MetMuseum,http://www.metmuseum.org/art/collection/search/198857,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions,InstrumentLedger.jpg,Literacy,Denis McCarty,23,"Simpler instruments such as rulers may have been produced locally, but more complex sets would have been imported from British production centers such as Birmingham.",England,Birmingham,,"Eighteenth-century tool sets contained various instruments for all sorts of tasks. These could be as simple as a pencil and a ruler. Other sets of instruments could include a compass for measuring angles in construction or math, scales for weighing materials, and other physical or intellectual endeavors. The set pictured is a set of drawing instruments and included a ruler, protractor, and dividers.","James M. Gaynor and Nancy L. Hagedorn,",Tools: Working Wood in Eighteenth-Century America,"(Williamsburg, VA: Colonial Williamsburg Foundation, 1993).",,,,1,"12 shillings, 6 pence",85,140,The databases record two sets of mathematical instruments purchased. Their prices range from twelve shillings six pence to four pounds two pence.,Rum,BlankBook,Shoes,Hose,Boots,Cards,Ribbon,,,
Paper,Paper,Letter to Joseph Watson,Paper.jpg,PaperThumbnail.jpg,Paper,Overall: 6 3/8 x 7 5/8in.,1844,"Pennsylvania, Bucks County, Newtown",182 mi.,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:58477,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,PaperLedger.jpg,Literacy,Vorlinda Wade,125,Most paper was imported from England. American paper production did not become prevalent until the later eighteenth century.,England,,,"Paper was used then, as it is now, for a variety of purposes including writing letters, keeping accounts and lists. Paper was most frequently sold by the quire, or twenty-four sheets. Larger orders of paper were per ream, a total of twenty quires.","Norman B. Wilkinson,",Papermaking in America,"(Greenville, DE: The Hagley Museum, 1975).","Beal, Peter. ""ream."" In",A Dictionary of English Manuscript Terminology 1450–2000.,"(Oxford: Oxford University Press, 2008).",1 quire,"1 shilling, 8 pence per quire",11.3,18.6,"The databases record thirty-nine purchases of paper. Most of these were purchased by the quire; however Allan Macrae purchased two reams of paper. Most of the paper sales were not qualified but one purchase was identified as writing paper and another as post paper. In price, paper ranged from half a pence for one quire to twelve shillings six pence for a ream.",Osnaburg,Lawn,Linen,Blanket,Shoes,Thread,ChamberPot,,,
Pencil,Pencil,Pencil Patent,Pencil.jpg,PencilThumbnail.jpg,,,1822,England,,WikiMedia Commons,https://en.wikipedia.org/wiki/File:Sampson_Mordan_1822_pencil-holders_patent.png,Public Domain,https://en.wikipedia.org/wiki/Public_domain,PencilLedger.jpg,Literacy,Jeremiah Hutchinson,210,,,,,"Though many wrote with a quill and ink during the eighteenth century, pencils were also common devices. These were basically pieces of graphite encased in wood or other materials that could be pressed onto paper to leave a mark. Eighteenth-century advertisements indicate that there were black lead, slate, and red pencils, including some made of cedar. Other types of pencils featured these materials encased in brass or other metals.","E. Jennifer Monaghan,",Learning to Read and Write in Colonial America,"(Amherst: University of Massachusetts Press, 2007).",,,,1,7 pence,3.97,6.54,The databases record eight purchases of pencils. Qualifiers include slate and steel and ranged in quantity from one to a dozen pencils. Pencils ranged in price from four pence for two pencils to eight pence for one.,Sugar,Nutmeg,Paper,Linen,Button,Indigo,Cards,,,
PenKnife,Penknife,Penknife,PenKnife.jpg,PenKnifeThumbnail.jpg,Steel with loaded stamped silver,"Length: 5.12 in, Width: 0.5 in",Circa 1780,"Sheffield, England","3,575 mi.",Victoria & Albert Museum,http://collections.vam.ac.uk/item/O109984/penknife-unknown/,"© Victoria and Albert Museum, London.",http://www.vam.ac.uk/content/articles/t/terms-and-conditions/,PenKnifeLedger.jpg,Literacy,Mary Fling,139,Sheffield(?),England,Sheffield,,Penknifes were crucial to the writing process for cutting the tip of a quill so that it can be used to write. Recent scholarship indicates that penknives were not particularly popular items until the middle of the eighteenth century in Colonial America.,"E. Jennifer Monaghan,",Learning to Read and Write in Colonial America,"(Amherst: University of Massachusetts Press, 2007).",,,,1,4 pence,2.27,3.74,"The databases record five purchases of penknives. The least expensive was four pence, however the quality and craftsmanship of the blade varied. Ramsay sold Barlow's best penknife and and a Stafford penknife for one pound ten shillings.",Osnaburg,Scissors,Pins,Needle,,,,,Look up manufactories of Barlow's best and Sheffield pen knives,
Primer,Royal Primmer (Primer),Royal Primer,Primer.jpg,PrimerThumbnail.jpg,Book,,1776,London,"6,974 km.",University of California Libraries,https://archive.org/details/royalprimeroreas00londiala,Public Domain,https://en.wikipedia.org/wiki/Public_domain,PrimerLedger.jpg,Literacy,Thomas Self,222,"In the mid eighteenth century primers would have been imported from England. The New England Primer, the first primer printed in the colonies, was not published until the end of the century.",England,London,,"Primers were basic level educational books that contained topics such as the alphabet, syllables, and basic grammar lessons as well as religious content. They taught basic reading skills through sample sentences and standard prayers.","Monaghan, Jennifer E.",Learning to Read and Write in Colonial America: Literacy Instruction and Acquisition in a Cultural Context.,"Amherst: University of Massachusetts Press, 2005.","Daniel Hahn. ""Books of instruction."" In",The Oxford Companion to Children’s Literature.,"Oxford University Press, 2015.",1,6 pence,3.4,5.6,The databases record six purchases of primers; four of these are unspecified primers and two are Royal Primers. The prices range from three pence to four shillings.,Osnaburg,Handkerchief,Shot,Check,Pepper,Pot,Scissors,,,
SealingWax,Sealing Wax,Sealing wax and seal on envelope,SealingWax.jpg,SealingWaxThumbnail.jpg,Wax,,,,,Peng via WikiMedia Commons,https://commons.wikimedia.org/wiki/File:Siegel.jpg,GFDL,https://en.wikipedia.org/wiki/GNU_Free_Documentation_License,SealingWaxLedger.jpg,Literacy,Daniel Wilson,6,,,,,"Wax was the most common way of sealing an envelope in early eighteenth century British Colonial America. However, the messiness of the process led to other innovations. Sticky discs called wafers soon became a common method to seal an envelope, in addition to wax.","E. Jennifer Monaghan,",Learning to Read and Write in Colonial America,"(Amherst: University of Massachusetts Press, 2007).",,,,1 stick,18 pence per stick,10.2,16.8,The databases record three purchases of sealing wax. Customers purchased either one or two sticks of wax. These ranged in price from thirteen pence for two sticks to eighteen pence for one stick.,Paper,PenKnife,Rum,Handkerchief,Spoon,Blanket,Rug,,,
Ham,Venison Ham,Ham,Ham.jpg,HamThumbnail.jpg,Ham,,,,,WikiMedia Commons,https://en.wikipedia.org/wiki/Ham#/media/File:Schinken.jpg,Public Domain,https://en.wikipedia.org/wiki/Public_domain,HamLedger.jpg,Local Payment,George Johnstone,269,,,,,"Though pork was a popular meat in Colonial America, it was usually only eaten fresh seasonally. The rest of the time, people consumed cured pork products such as ham. Ham is the cured rear legs of a pig. Ham was usually produced with a dry curing process, by applying salt, saltpeter, and sugar and then smoking the meat.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004);","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007).",unspecified,"12 shillings, 6 pence",,,"Ramsay occasionally took payment in goods rather than currency. The databases record two entries for ham, one entry on Captain George Johnstone's account “for sundries paid for vennison ham” at the rate of twelve shillings and six pence, and the other was a corresponding entry on William Ramsay's account for the same day receiving the ham at twelve shillings and six pence.",Tea,Cards,Sugar,SealingWax,Nail,Salt,BlankBook,,,
Mending,Mending,"The Seamstress, Richard Purcell",Mending.jpg,MendingThumbnail.jpg,Mezzotint on paper,14 1/8 x 10 inches,"Undated, 1746-1766",Britain,,Yale Center For British Art,http://collections.britishart.yale.edu/vufind/Record/3652441,Public Domain,https://britishart.yale.edu/using-images-works-public-domain,MendingLedger.jpg,Local Payment,Mrs. Mercy Chew,318,,,,,,,,,,,,,21 shillings,142,234,"The databases record eight instances of mending stays and one instance of altering stays. Of these, five were done by Mrs. Mercy Chew. The customer receiving the service is indicated either by name, by folio, or both. The cost of mending ranged from two shillings six pence to thirty shillings.",Nutmeg,Lock,Nails,Hose,Silk,,,*,,
Onion,Onion,Onion,Onion.jpg,OnionThumbnail.jpg,Onion,,,,,User:Colin via WikiMedia Commons,https://en.wikipedia.org/wiki/Onion#/media/File:Mixed_onions.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,OnionLedger.jpg,Local Payment,Mr. McCarty's Harry,233,Produce would have been locally grown,AmericanColonies,Virginia,,"Onions came to Colonial America from England, as well as Spain, Portugal, and Italy. Even though they had a powerful smell, the bulbs resist decay and they add flavor to dishes. They frequently accompanied meat dishes.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004);","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007).",unspecified,"1 pound, 2 shilling",,,"Ramsay occasionally took payment in goods rather than currency. Onions appear once as part of a payment to Ramsay for one pound two shillings in the form of onions, potatoes, and peas.",Osnaburg,Handkerchief,Thread,Shot,Indigo,Linen,,,Flesh out the description,
Peas,Peas,Peas,Peas.jpg,PeasThumbnail.jpg,Peas,,,,,Bill Ebbesen via WikiMedia Commons,https://en.wikipedia.org/wiki/Pea#/media/File:Peas_in_pods_-_Studio.jpg,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,PeasLedger.jpg,Local Payment,Jack Sawyer,233,Produce would have been locally grown,AmericanColonies,Virginia,,"Peas were used in both upper and lower class dishes in England. European explorers brought both sweet peas and field peas to Colonial America. These were used in soups, porridges, and puddings.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004);","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007).",unspecified,"13 shillings, 6 pence",,,Ramsay occasionally took payment in goods rather than currency. Peas appear twice as a payment to Ramsay. These ranged in price from one shilling two pence to thirteen shillings six pence.,Rug,,,,,,,,,
ClaspKnife,Clasp Knife,Clasp Knife,ClaspKnife.jpg,ClaspKnifeThumbnail.jpg,"Steel, Silver",Length: 7 5/8 in. (19.4 cm),18th Century,German or Swiss,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/187631,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions,ClaspKnifeLedger.jpg,Misc,Gershom Keyes,287,,,,,,,,,,,,,"1 shilling, 3 pence",8.5,14,The databases record twelve purchases of clasp knives. Their prices ranged from four pence to one shilling three pence. There were no qualifiers used to indicate quality or materials.,Garters,Paper,Buckles1,Buckles3,Handkerchief,Hose,Hat,*,,
Lampblack,Lampblack,Lamp Black Pigment,Lampblack.jpg,LampblackThumbnail.jpg,Carbon,,,,,FK1954 via Wikimedia Commons,https://en.wikipedia.org/wiki/Carbon_black#/media/File:Carbon_black.jpg,Public Domain,https://en.wikipedia.org/wiki/Public_domain,LampblackLedger.jpg,Misc,Brigantine Fairfax,160,,,,,Lampblack was a pigment used to make Indian ink and printer’s ink. It was made from soot. The distinction was likely made in the ledger as lampblack because the most common type of ink used during this time was iron gall ink. ,“Lampblack ink.” In ,The Oxford Companion to the Book. ,Oxford University Press (2010).,,,,2 barrels,9 shillings,5.1,8.41,The databases record four purchases of lamp black. It was sold by the barrel in quantities from one to six barrels per purchase. The prices range from three to nine shillings per barrell. There are no qualifiers used.,Handkerchief,Shoes,Rope,Twine,Tea,Sugar,Mug,*,,
Twine,Twine,Twine,Twine.jpg,TwineThumbnail.jpg,Hemp,,Colonial,"Williamsburg, VA",150 mi.,Image Courtesy of The Colonial Williamsburg Foundation,history.org/foundation/journal/winter15/hemp.cfm,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,TwineLedger.jpg,Misc,Major John Carlyle,284,,,,,,,,,,,,8 hanks,"1 shilling, 4 pence",9.07,15,"The databases record seven purchases of twine. Two of these are qualified as 'sail' twine, two are qualified as 'soft' twine. These four purchases are priced by weight, the remaining three purchases with no qualifiers are measured by the hank. The prices for twine range from eight pence for a hank of twine to one shilling eighteen pence for a pound of soft twine.",Compass,Surcingle,LookingGlass,SealingWax,Cinnamon,Blanket,Thread,*,,
Cap,Silk Cap,Cap of silk embroidery,Cap.jpg,CapThumbnail.jpg,Silk,"OD: 13""; OH: 11""",1720-1750,Europe,,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:37549,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,CapLedger.jpg,Outerwear,Daniel Talbot,124,Most of the clothing accessories sold in the Ramsay store would have been imported from England.,England,,,"A cap is a form of headwear worn by both men and women that closely fits to the crown of the head. Unlike felted hats, a cap was typically made of softer material and came in various forms with various uses. A night cap provided warmth and eased sleep. A mobcap was a type of women's headwear that covered all of her hair and could be worn alone indoors or under a bonnet or hat outdoors.",“Cap” In,New Oxford American Dictionary.,"Oxford :Oxford University Press, 2011",Colonial Williamsburg. “A Colonial Lady's Clothing: A Glossary of Terms.”,,"Accessed February 26, 2017. https://www.history.org/history/clothing/women/wglossary.cfm",1,"4 shillings, 2 pence",28.3,46.7,"The databases record six purchases of caps. Of these, five are silk and one is velvet. Their prices range from four shillings two pence for a silk cap to sixteen shillings six pence for a velvet cap.",Osnaburg,Needle,Paper,Linen,ChamberPot,Sugar,Bridle,,,
Gloves,Gloves,Gloves,Gloves.jpg,GlovesThumbnail.jpg,Leather,,Early 19th Century,,,Metropolitan Museum of Art,http://www.metmuseum.org/art/collection/search/170254?dept=62|8&amp;when=A.D.??1800&amp;ft=gloves&amp;pg=2&amp;rpp=20&amp;pos=22,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions,GlovesLedger.jpg,Outerwear,Captain Lewis Ellzey,30,Most of the clothing accessories sold in the Ramsay store would have been imported from England.,England,,,"Gloves are hand coverings that functioned primarily to protect the hands from the elements or labor. They were typically made of leather, linen, or silk and could even be knit. In the eighteenth century, they also served a social function as a sign of respect and modesty in public. Gloves were given by the family to mourners to wear in the funeral procession, this was both a symbol of esteem for the deceased and a symbol of community solidarity.","Bullock, Steven C. and Sheila McIntyre. “The Handsome Tokens of a Funeral: Glove-Giving and the Large Funeral in Eighteenth-Century New England.”","The William and Mary Quarterly,","69, No. 2 (April 2012): 305-346",,,,1 pair,15 pence per pair,8.5,14,The databases record twenty-nine pairs of gloves with prices ranging from ten pence for womens washing gloves to six shillings for buckskin gloves.,Lawn,Cambric,Linen,Thread,Needle,Hose,ShoeBuckle2,,,
Hat,Mens Fine Hat,Tricorne Hat,Hat.jpg,HatThumbnail.jpg,Beaver Fur,5 3/8 x 13 1/2 x 13 1/4 in.,c. 1780,Europe or United States,,LACMA,https://en.wikipedia.org/wiki/Tricorne#/media/File:Tricorne_hat_beaver_fur_c._1780.png,Public Domain,http://www.lacma.org/about/contact-us/terms-use,HatLedger.jpg,Outerwear,Gershom Keyes,287,Most of the clothing accessories sold in the Ramsay store would have been imported from England.,England,,,"Courtesy and custom dictated that both women and men either wear or carry hats when outdoors. While they did serve the practical functions of warmth and protection from the elements, they were also expressions of fashion, status, and wealth. The elaborate wigs that men of fashion wore often made it difficult to wear their hats, so they were often carried instead. The fashion of cocked hats, such as the tricorn developed to facilitate carrying ones hat under his arm. Mens hats were typically made of felted beaver, wool, or camel.",,,"Accessed February 26, 2017. https://www.history.org/history/clothing/men/mglossary.cfm",,,,1,22 shillings,150,247,"The databases record fifty purchases of hats for men, women, and boys. When noted, the materials are most often felt, although two furred hats were sold as well. The prices range from eleven pence for a felt hat to twenty-two shillings for a man's fine hat.",Buckram,Hose,Handkerchief,Garter,Paper,Linen,Button,,,
Hood,Velvet Hood,Woman's Hood,Hood.jpg,HoodThumbnail.jpg,Silk sarsanet,23 x 16 in. (58.42 x 40.64 cm),Ca. 1775,United States,,LACMA,http://collections.lacma.org/node/232830,Public Domain,http://www.lacma.org/about/contact-us/terms-use,HoodLedger.jpg,Outerwear,Mrs. Elizabeth Doleman,38,Most of the clothing accessories sold in the Ramsay store would have been imported from England.,England,,,"The form of a hood, a loose form of headwear framing the head and neck with an opening for the face, was often attached to cloaks but was also sold as an independent accessory. It served to protect the head from cold, rain, and sun.",“Hood” In,New Oxford American Dictionary.,"Oxford :Oxford University Press, 2011",,,,1,9 shillings,61.2,101,The databases record only two purchases of hoods; a gauze hood for five shillings six pence and a velvet hood for nine shillings.,Ribbon,Silk,Hose,Garter,Rug,Thread,Fringe,,,
MensCloak,Scarlet Cloak,Men's Cloak,MensCloak.jpg,MensCloakThumbnail.jpg,Wool,"OL: 53""; hem circumference: 180 3/4""",1775-1790,New England,,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:34628#.VvrtbCv5PYc,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,MensCloakLedger.jpg,Outerwear,Manasses Lyle,251,"Most of the ready to wear clothing sold in the Ramsay store would have been imported from England. Textiles were one of the largest departments of the store, indicating that most customers made their own clothing.",England,,,"Cloaks are loose garments worn by men, women, and children as outerwear. Men's cloaks were typically made of wool and fulled for warmth and water resistance. These goals were aided by the addition of capes to the shoulders.",Linda Baumgarten.,Eighteenth-Century Clothing at Williamsburg.,"(Williamsburg, Va: Colonial Williamsburg Foundation, 1986)",,,,1,"10 shillings, 6 pence",71.4,118,"The databases record fourteen purchases of cloaks, of these eleven are labeled as scarlet, the other three are labeled as drab. Only one of these cloaks is labeled as women's and none are labeled as men's or children's. The prices range from ten shillings six pence to thirteen shillings six pence.",Osnaburg,Linen,Rug,Handkerchief,Check,Button,Hat,,,
Mitts,Women's Mitts,Cream Silk Mitts,Mitts.jpg,MittsThumbnail.jpg,Silk; leather lining; silk needlework,"OL: 13 3/4""; OW: 4 3/4""",1760-1780,England,"3,607 mi.",Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:31060#.VvruGeX-XXE,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,MittsLedger.jpg,Outerwear,Mrs. Sarah Wigginton,272,,,,,"Mitts are similar in form to gloves, but with open fingers and thumbs. This allowed women to cover their hands and arms while leaving greater dexterity for sewing or other domestic labor. Depending on the weight of the fabric they could be used for warmth from the cold, or protection from the sun.",Linda Baumgarten.,What Clothes Reveal: The Language of Clothing in Colonial and Federal America,"(New Haven: Colonial Williamsburg Foundation in association with Yale University Press, 2002), 117.",Colonial Williamsburg. “A Colonial Lady's Clothing: A Glossary of Terms.”,,"Accessed February 26, 2017. https://www.history.org/history/clothing/women/wglossary.cfm",1 pr.,14 pence per pair,7.93,13.1,"The databases record ten purchases of mitts. These were primarily purchased both by and for women. The prices range from one and a quarter pence to eighteen pence. Their qualifiers include fine, glazed, and coloured.",Sugar,Paper,InkPowder,Nail,Tea,Linen,ShoeBuckle,,,
WomensCloak,Women's Scarlet Cloak,"Woman's Cloak, red hooded",WomensCloak.jpg,WomensCloakThumbnail.jpg,,"L: 41"" collar to hem; Hood H: 10 1/4""; Hood Dia: 9 1/2""",1750-1810,England,"3,607 mi.",Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:10123,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,WomensCloakLedger.jpg,Outerwear,Elinor Taylor,120,"Most of the ready to wear clothing sold in the Ramsay store would have been imported from England. Textiles were one of the largest departments of the store, indicating that most customers made their own clothing.",England,,,"Cloaks are loose garments worn by men, women, and children as outerwear. Winter cloaks were typically made of wool for warmth, but cloaks were also made in various weights and qualities of materials depending on the season and function. Red wool cloaks were the most popular style of winter wear for women.",Linda Baumgarten.,Eighteenth-Century Clothing at Williamsburg.,"(Williamsburg, Va: Colonial Williamsburg Foundation, 1986), 39.",,,,1,15 shillings,102,168,"The databases record fourteen purchases of cloaks, of these eleven are labeled as scarlet, the other three are labeled as drab. Only one of these cloaks is labeled as women's and none are labeled as men's or children's. The prices range from ten shillings six pence to thirteen shillings six pence.",Thread,Ribbon,Cotton,Linen,Shoes,Lawn,Garter,,,
WomensHat,Women's Felt Hat,"Woman's Hat, taupe felt",WomensHat.jpg,WomensHatThumbnail.jpg,Felted fur or wool; silk lining,"Diam: 20 1/2""; crown 5/8"" high.",1806-1827,"Lancaster, Pensylvania",125 mi.,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:1647,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,WomensHatLedger.jpg,Outerwear,Mary Sarbuck,19,Most of the clothing accessories sold in the Ramsay store would have been imported from England.,England,,,"Courtesy and custom dictated that both women and men either wear or carry hats when outdoors. While they could serve the practical functions of warmth and protection from the elements, they were also expressions of fashion, status, and wealth. Women's hats often featured wide brims to protect their face from the sun. While womens riding hats could be made of the same felted beaver, wool, or camel as their male counterparts, women's hats were more commonly made of chip or straw covered or trimmed with various fabrics, ribbons, and trims. Women often kept up with current fashion trends by refreshing the fabric or trim of a hat.",Colonial Williamsburg. “A Colonial Lady's Clothing: A Glossary of Terms.”,,"Accessed February 26, 2017. https://www.history.org/history/clothing/women/wglossary.cfm",,,,,4 shillings,27.2,44.8,The databases record only two purchases of hoods; a gauze hood for five shillings six pence and a velvet hood for nine shillings.,Tea,Sugar,Check,Bason,Shoes,Pot,Silk,,,
Cuttoe,Cuttoe,"Washington Crossing the Delaware (Detail), Emanuel Leutze",Cuttoe.jpg,CuttoeThumbnail.jpg,Oil on canvas,149 x 255 in. ,1851,"Washington, D.C.",,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/11417,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions,CuttoeLedger.jpg,Personal,William Howell,88,,,,,,,,,,,,,10 pence,5.67,9.35,The databases record four cuttoes. One is identified as a small cuttoe. Their prices range from five to ten pence.,Hat,Linen,Shoes,Osnaburg,Testament,Thread,Check,*,,
Doll,Baby Doll,Doll with leading string,Doll.jpg,DollThumbnail.jpg,"Wood, gesso, paint, linen","OL: 18""",Early 18th Century,England,"3,607 mi.",Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:14650#.VvrjfpJrCKA,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,DollLedger.jpg,Personal,Mrs. Jemina Minor,17,"Most dolls would have either been imported from England or produced in the colonies; however as fashion models, some dolls may have been imported from Paris as well.",England,,,"Dolls in the eighteenth century were primarily playthings, yet they also served as prescriptive devices to teach young girls. Though varying levels of sophistication and detail survive, dolls were equipped with the full range of clothing a person dressed in the same fashion would require including items such as stays, petticoats, and shoes. Dolls purchased with clothing often displayed the height of fashion and indeed may have begun life as scale models of new fashions. Dolls purchased without clothing may have served as a canvas for the girl to display her sewing abilities by constructing miniature clothing for the doll.","Leslie Reinhardt, ""Serious Daughters: Dolls, Dress, and Female Virtue in the Eighteenth Century,""",American Art,"20, no. 2 (Summer 2006): 32-55.",,,,,10 pence,5.67,9.35,The databases record six purchases of babies which we interpret as baby dolls. Two of these dolls are identified as having glass eyes indicating a higher quality of doll than those with eyes merely painted on. The prices range from ten pence each for two babies to one pound eight shillings for a baby with glass eyes.,Thread,Pins,Linen,Mitts,Paper,Hat,Sugar,,,
